DateTime,Tag Number,Alarm Description
2024/01/18 20:00:20.055 +05:30,FI9276,FI9276       TOTAL NG TO INCI-II      PV  =     66 SM3/HR   LO   Recover
2024/01/18 21:05:34.055 +05:30,TC9246A,TC9246A      CO TO INCI-II            MV  =   36.0 %    MHI
2024/01/18 21:12:54.055 +05:30,TC9246A,TC9246A      CO TO INCI-II            MV  =   34.0 %    MHI  Recover
2024/01/18 21:12:54.055 +05:30,TC9246A,TC9246A      CO TO INCI-II            NR
2024/01/18 22:03:17.255 +05:30,FC9266,FC9266       FLOW TO T 9210 R         AUT
2024/01/18 22:06:54.055 +05:30,TC9246A,TC9246A      CO TO INCI-II            MV  =   36.0 %    MHI
2024/01/18 22:17:24.055 +05:30,LI198,LI198        RED WATER TANK LEVEL     PV  =   85.0 %    HI
2024/01/18 22:23:09.355 +05:30,LC9238,LC9238                                MAN
2024/01/18 22:23:29.355 +05:30,LC9238,LC9238                                AUT
2024/01/18 22:23:41.455 +05:30,LC9207,LC9207       T-9210   LEVEL           MAN
2024/01/18 22:23:52.455 +05:30,LC9207,LC9207       T-9210   LEVEL           AUT
2024/01/18 22:24:02.905 +05:30,FC9266,FC9266       FLOW TO T 9210 R         MAN
2024/01/18 22:46:26.355 +05:30,LC9207,LC9207       T-9210   LEVEL           MAN
2024/01/18 22:47:09.055 +05:30,AN1535S06,AN1535S06    P9116B OFF               ALM
2024/01/18 22:47:13.055 +05:30,H9116A,H9116A       P9116A MIXINGTANK PMP    PV  =      0      ANS+
2024/01/18 22:47:13.055 +05:30,AN1534S06,AN1534S06    P9116A OFF               ALM
2024/01/18 22:57:15.055 +05:30,LC9207,LC9207       T-9210   LEVEL           PV  =   69.9 %    LO
2024/01/18 23:00:50.055 +05:30,TC9246A,TC9246A      CO TO INCI-II            MV  =   34.0 %    MHI  Recover
2024/01/18 23:00:50.055 +05:30,TC9246A,TC9246A      CO TO INCI-II            NR
2024/01/18 23:04:46.055 +05:30,AN1535S06,AN1535S06    P9116B OFF               NR
2024/01/18 23:05:03.055 +05:30,H9116A,H9116A       P9116A MIXINGTANK PMP    PV  =      2      ANS+ Recover
2024/01/18 23:05:03.055 +05:30,H9116A,H9116A       P9116A MIXINGTANK PMP    NR
2024/01/18 23:05:03.055 +05:30,AN1534S06,AN1534S06    P9116A OFF               NR
2024/01/18 23:15:06.105 +05:30,LC9238,LC9238                                MAN
2024/01/18 23:15:16.105 +05:30,LC9238,LC9238                                AUT
2024/01/18 23:16:00.155 +05:30,LC9207,LC9207       T-9210   LEVEL           AUT
2024/01/18 23:22:02.205 +05:30,FC9266,FC9266       FLOW TO T 9210 R         AUT
2024/01/18 23:22:08.855 +05:30,LC9238,LC9238                                MAN
2024/01/18 23:22:23.755 +05:30,LC9238,LC9238                                AUT
2024/01/18 23:23:28.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         PV  =   85.0 MBAR LO   Recover
2024/01/18 23:23:28.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         NR
2024/01/18 23:29:04.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         PV  =   65.0 MBAR LO
2024/01/18 23:29:32.505 +05:30,LC9238,LC9238                                MAN
2024/01/18 23:29:43.505 +05:30,LC9238,LC9238                                AUT
2024/01/18 23:29:49.805 +05:30,LC9238,LC9238                                MAN
2024/01/18 23:29:56.055 +05:30,FI9215,FI9215       DISCH.FLOW OF P9215      PV  =    0.0 M3/H IOP-
2024/01/18 23:29:57.055 +05:30,FI9215,FI9215       DISCH.FLOW OF P9215      PV  =    0.0 M3/H IOP- Recover
2024/01/18 23:29:57.055 +05:30,FI9215,FI9215       DISCH.FLOW OF P9215      NR
2024/01/18 23:30:12.805 +05:30,LC9238,LC9238                                AUT
2024/01/18 23:37:47.205 +05:30,FC9266,FC9266       FLOW TO T 9210 R         MAN
2024/01/18 23:51:20.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   12.0 %    MLO
2024/01/18 23:54:58.055 +05:30,H9112,H9112        P9112 NAOH PMP STP       AUT
2024/01/18 23:55:14.205 +05:30,FC9266,FC9266       FLOW TO T 9210 R         AUT
2024/01/18 23:56:12.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   14.0 %    MLO  Recover
2024/01/18 23:56:12.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP NR
2024/01/18 23:56:20.355 +05:30,LC9238,LC9238                                MAN
2024/01/18 23:56:38.355 +05:30,LC9238,LC9238                                AUT
2024/01/18 23:59:56.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         PV  =  0.990 m3/hr    LO
2024/01/19 00:00:01.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         PV  =  1.150 m3/hr    LO   Recover
2024/01/19 00:00:01.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         NR
2024/01/19 00:02:41.055 +05:30,TI9128A,TI9128A      STACK GAS INC-1          PV  =   20.0 DEGC LO
2024/01/19 00:03:02.055 +05:30,LC9207,LC9207       T-9210   LEVEL           PV  =   72.0 %    LO   Recover
2024/01/19 00:03:02.055 +05:30,LC9207,LC9207       T-9210   LEVEL           NR
2024/01/19 00:03:18.055 +05:30,TC9246A,TC9246A      CO TO INCI-II            MV  =   36.0 %    MHI
2024/01/19 00:12:24.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         PV  =  0.973 m3/hr    LO
2024/01/19 00:12:28.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         PV  =  1.134 m3/hr    LO   Recover
2024/01/19 00:12:28.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         NR
2024/01/19 00:13:50.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         PV  =  0.973 m3/hr    LO
2024/01/19 00:13:54.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         PV  =  1.164 m3/hr    LO   Recover
2024/01/19 00:13:54.055 +05:30,FC9209,FC9209       EFF FLOW TO INC.         NR
2024/01/19 00:15:10.055 +05:30,TC9246A,TC9246A      CO TO INCI-II            MV  =   33.9 %    MHI  Recover
2024/01/19 00:15:10.055 +05:30,TC9246A,TC9246A      CO TO INCI-II            NR
2024/01/19 00:25:04.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   12.0 %    MLO
2024/01/19 00:31:20.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   14.0 %    MLO  Recover
2024/01/19 00:31:20.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP NR
2024/01/19 01:04:36.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         PV  =   85.0 MBAR LO   Recover
2024/01/19 01:04:36.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         NR
2024/01/19 01:07:20.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   12.0 %    MLO
2024/01/19 01:07:35.455 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP      Alarm OFF
2024/01/19 01:08:56.055 +05:30,PC9298,PC9298       NG PRESS INCI-II         PV  =   64.9 MBAR LO
2024/01/19 01:14:20.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   14.0 %    MLO  Recover
2024/01/19 01:14:20.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP NR
2024/01/19 01:29:08.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   12.0 %    MLO
2024/01/19 01:29:35.505 +05:30,LC9207,LC9207       T-9210   LEVEL           MAN
2024/01/19 01:29:48.505 +05:30,LC9207,LC9207       T-9210   LEVEL           AUT
2024/01/19 01:37:36.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   14.0 %    MLO  Recover
2024/01/19 01:37:36.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP NR
2024/01/19 01:48:48.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   12.0 %    MLO
2024/01/19 01:58:32.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   14.0 %    MLO  Recover
2024/01/19 01:58:32.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP NR
2024/01/19 02:04:38.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.0 MG/NM3   HI
2024/01/19 02:04:55.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.9 MG/NM3   HI   Recover
2024/01/19 02:04:55.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:09:20.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   12.0 %    MLO
2024/01/19 02:15:12.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.5 MG/NM3   HI
2024/01/19 02:15:51.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.8 MG/NM3   HI   Recover
2024/01/19 02:15:51.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:19:08.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   14.0 %    MLO  Recover
2024/01/19 02:19:08.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP NR
2024/01/19 02:19:34.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.2 MG/NM3   HI
2024/01/19 02:20:19.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.7 MG/NM3   HI   Recover
2024/01/19 02:20:19.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:24:56.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.2 MG/NM3   HI
2024/01/19 02:25:26.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.6 MG/NM3   HI   Recover
2024/01/19 02:25:26.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:29:30.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   35.3 MG/NM3   HI
2024/01/19 02:29:51.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               PV  =   30.8 MG/NM3   HI   Recover
2024/01/19 02:29:51.055 +05:30,AI9208SPM,AI9208SPM    INC-II SPM               NR
2024/01/19 02:30:56.055 +05:30,TC9246,TC9246       INC CHMB TO WASH TWR TMP MV  =   12.0 %    MLO
