DATETIME,INCI CHAMBER BOTM TEMP(degC),INC INTER TEMP(degC),INC-2 INTER TEMP(degC),INC TOP TEMP(degC),STACK TEMP(degC),INC CHMB TO WASH TWR TMP(degC),EFF TO C9202(m3/h),EFF FLOW TO INC.(m3/h),CO FLOW TO INC-2(N-m3/h),TOTAL NG TO INCI-II(S-m3/h),INC. PRESSURE(mmH2O)
19-01-2024 03:25:34,874.6406,881.0089,843.6115,769.9733,86.08092,734.186,79.87595,1.394288,433.6286,39.39211,0.3556
19-01-2024 03:25:35,874.5396,880.9464,843.6075,769.9109,86.07635,734.1462,79.90012,1.399658,434.1647,59.02039,0.2388351
19-01-2024 03:25:36,874.3792,880.8419,843.4956,769.8431,86.06796,734.0897,80.22711,1.405396,434.4833,69.07071,-0.1491371
19-01-2024 03:25:37,874.299,880.7896,843.4397,769.8093,86.06987,734.0248,79.98487,1.411926,434.3392,74.33065,-0.1722248
19-01-2024 03:25:38,874.3321,880.7268,843.3385,769.8656,86.07693,733.9558,80.26949,1.417328,434.0647,76.72585,0.5669638
19-01-2024 03:25:39,874.2388,880.6222,843.2879,769.8205,86.06825,733.9213,79.9095,1.421249,433.471,77.68726,0.5764506
19-01-2024 03:25:40,874.2654,880.5699,843.2626,769.798,86.07612,733.904,80.17175,1.423363,433.2249,78.40414,-0.1390208
19-01-2024 03:25:41,874.1688,880.4338,843.1767,769.6768,86.06784,733.8221,79.81088,1.424572,433.3048,78.76259,-0.03288929
19-01-2024 03:25:42,874.1205,880.2926,843.1337,769.6528,86.06981,733.8178,79.95546,1.42594,433.6487,78.70563,-0.4131732
19-01-2024 03:25:43,874.0232,880.2952,843.0757,769.531,86.05859,733.7424,79.73867,1.427997,434.2253,78.67715,-0.06620573
19-01-2024 03:25:44,873.9012,880.15,843.01,769.5067,86.04688,733.7413,80.01251,1.429483,434.0583,78.6629,-0.5091771
19-01-2024 03:25:45,873.8036,880.1507,843.0138,769.4579,86.05322,733.7042,79.91613,1.429768,434.1267,78.65578,0.02617317
19-01-2024 03:25:46,873.7549,880.0411,842.9424,769.4702,86.0564,733.7222,80.03825,1.428538,433.9077,79.12319,-0.2371576
19-01-2024 03:25:47,873.6938,879.9131,842.8701,769.5129,86.05798,733.6946,79.89595,1.424108,433.6969,79.3569,-0.1429928
19-01-2024 03:25:48,873.6633,879.8491,842.8706,769.5343,86.05878,733.6808,79.92111,1.4164,433.9966,79.00278,-0.1630492
19-01-2024 03:25:49,873.5748,879.7439,842.8342,769.4717,86.05917,733.6006,79.96666,1.40751,434.3488,79.0619,0.3091004
19-01-2024 03:25:50,873.5306,879.6547,842.7428,769.4771,86.04716,733.5605,80.14292,1.398793,434.0694,79.09147,0.282724
19-01-2024 03:25:51,873.545,879.5734,842.7703,769.4065,86.05337,733.5405,80.06383,1.391535,433.9804,79.10625,0.5930222
19-01-2024 03:25:52,873.5523,879.6061,842.7109,769.4445,86.05647,733.5305,79.99955,1.385923,433.9865,78.87746,0.6932396
19-01-2024 03:25:53,873.4827,879.5858,842.6812,769.3536,86.05802,733.5255,80.15937,1.381285,434.192,78.99924,0.4076549
19-01-2024 03:25:54,873.338,879.4291,842.6663,769.2715,86.05269,733.4864,79.97579,1.377136,434.699,78.58634,0.2648626
19-01-2024 03:25:55,873.2657,879.424,842.549,769.1938,86.05003,733.4302,79.87299,1.373535,434.5482,78.85369,0.4192966
